设计模式,模式类型,应用场景,实现类/接口,角色,职责描述,优势,使用频率,复杂度,扩展性
依赖注入模式,结构型模式,依赖管理,AgentServiceImpl,服务类,通过依赖注入获取所需服务,降低组件间耦合,高,低,高
依赖注入模式,结构型模式,依赖管理,ModelServiceImpl,服务类,通过依赖注入获取所需服务,便于测试和扩展,高,低,高
依赖注入模式,结构型模式,依赖管理,所有Controller类,控制器,通过依赖注入获取业务服务,分离展示层和业务层,高,低,中
建造者模式,创建型模式,复杂对象构建,ExecutionContext,产品类,执行上下文的复杂对象,封装执行相关信息,中,中,中
建造者模式,创建型模式,复杂对象构建,AgentConfig,产品类,智能体配置的复杂对象,封装智能体配置信息,中,中,中
建造者模式,创建型模式,复杂对象构建,ModelConfig,产品类,模型配置的复杂对象,封装模型连接配置,中,中,中
责任链模式,行为型模式,请求处理链,执行步骤处理,处理器链,按顺序处理执行步骤,灵活的处理流程,低,中,高
责任链模式,行为型模式,请求处理链,ExecutionStep,处理节点,单个执行步骤的处理节点,封装单步处理逻辑,低,低,中
代理模式,结构型模式,服务代理,各种Repository接口,代理接口,为数据访问提供代理,隐藏数据访问细节,高,低,中
代理模式,结构型模式,服务代理,Spring JPA实现,代理实现,实际的数据访问代理,提供透明的数据访问,高,低,低
装饰器模式,结构型模式,功能增强,ToolExecuteResult,被装饰对象,工具执行结果的基础对象,提供基本结果信息,中,低,中
装饰器模式,结构型模式,功能增强,错误处理装饰,装饰器,为结果添加错误处理能力,增强错误处理功能,中,中,中
外观模式,结构型模式,接口简化,ManusController,外观类,为复杂的后端服务提供简化接口,简化客户端调用,高,低,中
外观模式,结构型模式,接口简化,AgentController,外观类,为智能体管理提供简化接口,隐藏服务复杂性,高,低,中
外观模式,结构型模式,接口简化,ModelController,外观类,为模型管理提供简化接口,统一模型操作入口,高,低,中
命令模式,行为型模式,操作封装,ExecutionStep,命令对象,封装执行步骤的命令,可撤销和重做操作,中,中,高
命令模式,行为型模式,操作封装,ToolExecuteResult,命令结果,命令执行的结果对象,记录执行状态和结果,中,低,中
状态模式,行为型模式,状态管理,AgentState,状态接口,定义智能体的各种状态,状态驱动的行为变化,中,低,中
状态模式,行为型模式,状态管理,BaseAgent,上下文,持有当前状态并委托行为,根据状态执行不同逻辑,中,中,中
桥接模式,结构型模式,实现分离,ILlmService,抽象接口,定义LLM服务的抽象,分离接口和实现,中,低,高
桥接模式,结构型模式,实现分离,LlmService,具体实现,LLM服务的具体实现,可切换不同LLM提供商,中,中,高
访问者模式,行为型模式,操作分离,各种Entity类,被访问对象,数据实体对象,分离数据结构和操作,低,中,中
访问者模式,行为型模式,操作分离,映射方法,访问者,将实体映射为VO对象,在不修改实体的情况下添加操作,低,低,高
备忘录模式,行为型模式,状态保存,PlanExecutionRecordEntity,备忘录,保存执行计划的历史状态,支持状态回滚和历史查询,中,低,中
备忘录模式,行为型模式,状态保存,版本控制相关类,发起人,创建和管理备忘录,提供状态快照能力,中,中,中
中介者模式,行为型模式,对象协调,PlanningCoordinator,中介者,协调计划处理的各个组件,减少组件间直接依赖,中,中,高
中介者模式,行为型模式,对象协调,各个规划组件,同事类,参与协调的具体组件,通过中介者进行交互,中,中,中
解释器模式,行为型模式,语言解释,提示词模板系统,解释器,解释和执行提示词模板,支持动态模板渲染,低,高,高
解释器模式,行为型模式,语言解释,变量替换逻辑,表达式,模板中的变量表达式,提供灵活的模板语法,低,中,高
