类型,包名,类名/接口名,属性,方法,描述,设计模式,关系类型,关联对象
类,业务服务层,LlmService,"agentExecutionClient: ChatClient, planningChatClient: ChatClient, chatModel: ChatModel","getChatClient(): ChatClient, getPlanningChatClient(): ChatClient, getChatModel(): ChatModel",LLM服务实现,,实现,ILlmService
接口,业务服务层,IUserInputService,,"storeFormInputTool(planId: String, tool: FormInputTool): void, retrieveFormInputTool(planId: String): FormInputTool, waitForUserInput(planId: String, timeout: Duration): UserInputWaitState, submitUserInput(planId: String, inputs: Map<String, String>): void",用户输入服务接口,,实现,UserInputService
类,业务服务层,UserInputService,"formInputTools: Map<String, FormInputTool>, waitStates: Map<String, UserInputWaitState>","storeFormInputTool(planId: String, tool: FormInputTool): void, waitForUserInput(planId: String, timeout: Duration): UserInputWaitState, submitUserInput(planId: String, inputs: Map<String, String>): void",用户输入服务实现,,实现,IUserInputService
类,控制器层,AgentController,agentService: AgentService,"getAllAgents(): ResponseEntity<List<AgentConfig>>, getAgentsByNamespace(namespace: String): ResponseEntity<List<AgentConfig>>, getAgentById(id: String): ResponseEntity<AgentConfig>, createAgent(agentConfig: AgentConfig): ResponseEntity<AgentConfig>, updateAgent(id: String, agentConfig: AgentConfig): ResponseEntity<AgentConfig>, deleteAgent(id: String): ResponseEntity<Void>, getAvailableTools(): ResponseEntity<List<Tool>>",智能体控制器,,聚合,AgentService
类,控制器层,ModelController,modelService: ModelService,"getAllModels(): ResponseEntity<List<ModelConfig>>, getModelById(id: String): ResponseEntity<ModelConfig>, createModel(modelConfig: ModelConfig): ResponseEntity<ModelConfig>, updateModel(id: Long, modelConfig: ModelConfig): ResponseEntity<ModelConfig>, deleteModel(id: String): ResponseEntity<Void>, getAllModelTypes(): ResponseEntity<List<String>>",模型控制器,,聚合,ModelService
类,控制器层,ManusController,"planningFactory: PlanningFactory, planIdDispatcher: PlanIdDispatcher, userInputService: UserInputService, recorder: PlanExecutionRecorder","executeTask(request: TaskExecutionRequest): ResponseEntity<ExecutionResult>, getExecutionStatus(planId: String): ResponseEntity<ExecutionStatus>, getExecutionResult(planId: String): ResponseEntity<ExecutionResult>, submitUserInput(planId: String, inputs: Map<String, String>): ResponseEntity<Void>, getUserInputWaitState(planId: String): ResponseEntity<UserInputWaitState>",主控制器,,聚合,PlanningFactory
类,控制器层,PromptController,promptService: PromptService,"getAll(): ResponseEntity<List<PromptVO>>, getAllByNamespace(namespace: String): ResponseEntity<List<PromptVO>>, getById(id: Long): ResponseEntity<PromptVO>, create(prompt: PromptVO): ResponseEntity<PromptVO>, update(id: Long, prompt: PromptVO): ResponseEntity<PromptVO>, delete(id: Long): ResponseEntity<Void>",提示词控制器,,聚合,PromptService
类,控制器层,McpController,mcpService: McpService,"getAllConfigs(): ResponseEntity<List<McpConfigVO>>, createConfig(config: McpConfigRequestVO): ResponseEntity<McpConfigVO>, updateConfig(id: Long, config: McpConfigRequestVO): ResponseEntity<McpConfigVO>, deleteConfig(id: Long): ResponseEntity<Void>, getServerStatus(id: Long): ResponseEntity<Map<String, Object>>",MCP控制器,,聚合,McpService
类,控制器层,ConfigController,configService: IConfigService,"getConfigsByGroup(groupName: String): ResponseEntity<List<ConfigEntity>>, batchUpdateConfigs(configs: List<ConfigEntity>): ResponseEntity<Void>",配置控制器,,聚合,IConfigService
类,数据层,DynamicAgentEntity,"id: Long, name: String, description: String, namespace: String, availableTools: String, nextStepPrompt: String, model: DynamicModelEntity",mapToAgentConfig(): AgentConfig,动态智能体实体,,,DynamicModelEntity
类,数据层,DynamicModelEntity,"id: Long, baseUrl: String, apiKey: String, modelName: String, modelDescription: String, type: String",mapToModelConfig(): ModelConfig,动态模型实体,,,
类,数据层,PromptEntity,"id: Long, namespace: String, promptName: String, content: String, variables: String, description: String",mapToPromptVO(): PromptVO,提示词实体,,,
类,数据层,McpConfigEntity,"id: Long, serverName: String, command: String, args: String, env: String, cwd: String, timeout: Integer, enabled: Boolean",mapToMcpConfigVO(): McpConfigVO,MCP配置实体,,,
类,数据层,ConfigEntity,"id: Long, groupName: String, configKey: String, configValue: String, description: String, inputType: ConfigInputType",,配置实体,,,
类,数据层,PlanExecutionRecordEntity,"id: Long, planId: String, rootPlanId: String, userRequest: String, planContent: String, executionStatus: String, startTime: LocalDateTime, endTime: LocalDateTime, errorMessage: String",,计划执行记录实体,,,
接口,仓库层,DynamicAgentRepository,,"findAllByNamespace(namespace: String): List<DynamicAgentEntity>, findByName(name: String): DynamicAgentEntity, findAllByModel(model: DynamicModelEntity): List<DynamicAgentEntity>",动态智能体仓库,,,
接口,仓库层,DynamicModelRepository,,findByModelName(modelName: String): DynamicModelEntity,动态模型仓库,,,
接口,仓库层,PromptRepository,,"findAllByNamespace(namespace: String): List<PromptEntity>, findByNamespaceAndPromptName(namespace: String, promptName: String): PromptEntity",提示词仓库,,,
接口,仓库层,McpConfigRepository,,"findByServerName(serverName: String): McpConfigEntity, findAllByEnabled(enabled: Boolean): List<McpConfigEntity>",MCP配置仓库,,,
接口,仓库层,ConfigRepository,,"findAllByGroupName(groupName: String): List<ConfigEntity>, findByGroupNameAndConfigKey(groupName: String, configKey: String): ConfigEntity",配置仓库,,,
接口,仓库层,PlanExecutionRecordRepository,,"findByPlanId(planId: String): PlanExecutionRecordEntity, findAllByRootPlanId(rootPlanId: String): List<PlanExecutionRecordEntity>",计划执行记录仓库,,,
类,值对象,AgentConfig,"id: String, name: String, description: String, namespace: String, availableTools: List<String>, nextStepPrompt: String, model: ModelConfig",,智能体配置值对象,,,
类,值对象,ModelConfig,"id: Long, baseUrl: String, apiKey: String, modelName: String, modelDescription: String, type: String",,模型配置值对象,,,
类,值对象,Tool,"key: String, name: String, description: String, enabled: boolean, serviceGroup: String",,工具值对象,,,
类,值对象,ExecutionContext,"currentPlanId: String, rootPlanId: String, userRequest: String, plan: PlanInterface, useMemory: boolean, success: boolean, executionParams: Map<String, Object>",,执行上下文,,,
类,值对象,ExecutionStep,"stepIndex: int, stepRequirement: String, terminateColumns: String, agent: BaseAgent",,执行步骤,,,
类,工厂模式,PlanningFactory,"dynamicAgentLoader: IDynamicAgentLoader, llmService: ILlmService, recorder: PlanExecutionRecorder, promptService: PromptService, manusProperties: ManusProperties, planExecutorFactory: PlanExecutorFactory",createPlanningCoordinator(planId: String): PlanningCoordinator,规划工厂,工厂模式,聚合,PlanExecutorFactory
类,工厂模式,PlanExecutorFactory,"agents: List<DynamicAgentEntity>, recorder: PlanExecutionRecorder, agentService: AgentService, llmService: ILlmService, manusProperties: ManusProperties",createExecutor(planType: String): PlanExecutorInterface,计划执行器工厂,工厂模式,被聚合,PlanningFactory
