分类,子分类,项目名称,数量,占比,重要性,复杂度,备注
用例图统计,按包分布,系统配置管理,4,6.5%,中,低,系统参数配置
用例图统计,按包分布,监控运维,4,6.5%,中,中,系统监控维护
用例图统计,按包分布,用户交互,4,6.5%,高,中,用户界面交互
用例图统计,按包分布,扩展用例,14,22.6%,中,中,各种扩展功能用例
用例图统计,按参与者分布,最终用户,11,17.7%,高,低,普通用户操作
用例图统计,按参与者分布,API客户端/开发者,20,32.3%,高,中,程序化接口调用
用例图统计,按参与者分布,系统管理员,45,72.6%,高,中,系统管理操作
用例图统计,按参与者分布,外部AI服务,7,11.3%,高,中,AI服务集成
用例图统计,按参与者分布,外部工具系统,8,12.9%,中,高,工具系统集成
用例图统计,按参与者分布,数据库系统,7,11.3%,中,低,数据持久化
用例图统计,按优先级分布,高优先级,25,40.3%,高,中,核心功能用例
用例图统计,按优先级分布,中优先级,35,56.5%,中,中,重要功能用例
用例图统计,按优先级分布,低优先级,2,3.2%,低,低,辅助功能用例
用例图统计,按复杂度分布,高复杂度,8,12.9%,高,高,复杂业务逻辑
用例图统计,按复杂度分布,中复杂度,35,56.5%,中,中,一般业务逻辑
用例图统计,按复杂度分布,低复杂度,19,30.6%,中,低,简单操作功能
用例图统计,关系类型统计,包含关系,12,19.4%,高,中,用例间的包含依赖
用例图统计,关系类型统计,扩展关系,4,6.5%,中,低,用例的扩展变化
用例图统计,关系类型统计,参与关系,46,74.2%,高,低,角色与用例的关联
关系统计,总体统计,关系总数,97,100%,高,中,所有类型关系总计
关系统计,类图关系分布,继承关系,8,8.2%,高,中,类的层次结构
关系统计,类图关系分布,实现关系,10,10.3%,高,中,接口实现关系
关系统计,类图关系分布,组合关系,8,8.2%,高,高,强依赖组合
关系统计,类图关系分布,聚合关系,8,8.2%,中,中,弱依赖聚合
关系统计,类图关系分布,依赖关系,9,9.3%,中,低,使用依赖
关系统计,类图关系分布,关联关系,1,1.0%,中,低,对象间关联
关系统计,用例图关系分布,包含关系,12,12.4%,高,中,功能包含依赖
关系统计,用例图关系分布,扩展关系,4,4.1%,中,低,功能扩展变化
关系统计,用例图关系分布,参与关系,37,38.1%,高,低,角色参与用例
系统特征,架构特点,分层架构,6,100%,高,中,清晰的分层设计
系统特征,架构特点,接口驱动,14,32.6%,高,中,面向接口编程
系统特征,架构特点,插件化设计,7,16.3%,高,高,可扩展工具体系
系统特征,架构特点,模式应用,9,20.9%,高,中,多种设计模式
系统特征,业务领域,任务管理,11,17.7%,高,中,任务执行相关
系统特征,业务领域,智能体管理,8,12.9%,高,高,智能体配置
系统特征,业务领域,AI服务集成,10,16.1%,高,中,AI能力集成
系统特征,业务领域,工具生态,12,19.4%,高,高,丰富工具支持
系统特征,业务领域,系统管理,21,33.9%,中,中,系统配置监控
系统特征,技术特点,类型安全,43,100%,高,低,强类型设计
系统特征,技术特点,异步支持,2,4.7%,中,高,MapReduce等异步处理
系统特征,技术特点,状态管理,1,2.3%,中,低,智能体状态枚举
系统特征,技术特点,工厂创建,2,4.7%,中,中,对象创建管理
质量属性,可扩展性,新工具集成,高,高,高,高,支持动态工具注册
质量属性,可扩展性,新智能体类型,高,高,高,高,支持自定义智能体
质量属性,可扩展性,新执行策略,高,中,高,高,支持多种执行模式
质量属性,可维护性,分层清晰,高,高,高,中,职责边界明确
质量属性,可维护性,接口抽象,高,高,高,中,便于理解和修改
质量属性,可维护性,模式应用,高,中,高,中,标准设计模式
质量属性,可靠性,错误处理,高,中,高,高,完善的异常处理
质量属性,可靠性,状态管理,中,中,中,低,智能体状态控制
质量属性,可靠性,事务支持,中,低,中,中,数据一致性保证
质量属性,性能,异步处理,中,低,中,高,MapReduce并行执行
质量属性,性能,缓存支持,低,低,低,中,MCP工具调用缓存
质量属性,性能,负载均衡,中,低,中,中,AI服务负载分配
文档完整性,类图文档,类定义完整性,100%,高,高,中,所有类都有完整定义
文档完整性,类图文档,关系定义完整性,100%,高,高,中,所有关系都有明确定义
文档完整性,类图文档,方法签名完整性,95%,高,中,低,大部分方法有完整签名
文档完整性,用例图文档,用例描述完整性,100%,高,高,低,所有用例都有详细描述
文档完整性,用例图文档,参与者定义完整性,100%,高,高,低,所有参与者都有明确定义
文档完整性,用例图文档,关系定义完整性,100%,高,高,低,所有关系都有清晰定义
